主要诊断编码,主要诊断名称,其他诊断编码,其他诊断名称,并发症评级,病案数
A03.900,细菌性痢疾,E87.600,低钾血症,合并症/并发症,12
A03.900,细菌性痢疾,E87.801,电解质代谢紊乱,合并症/并发症,4
A03.900,细菌性痢疾,I25.500,缺血性心肌病,合并症/并发症,3
A03.900,细菌性痢疾,I50.906,心肌损害,严重合并症/并发症,4
A03.900,细菌性痢疾,I51.400,心肌炎,合并症/并发症,4
A03.901,急性细菌性痢疾,E87.600,低钾血症,合并症/并发症,3
A08.000,轮状病毒性肠炎,E87.600,低钾血症,合并症/并发症,5
A08.000,轮状病毒性肠炎,E87.801,电解质代谢紊乱,合并症/并发症,3
A08.000,轮状病毒性肠炎,I50.906,心肌损害,严重合并症/并发症,9
A08.000,轮状病毒性肠炎,J18.000,支气管肺炎,合并症/并发症,8
A08.000,轮状病毒性肠炎,J18.900,肺炎,合并症/并发症,3
A09.001,感染性胃肠炎,E87.801,电解质代谢紊乱,合并症/并发症,3
A09.004,感染性腹泻,A41.900,脓毒症,严重合并症/并发症,6
A09.004,感染性腹泻,D69.600,血小板减少,合并症/并发症,3
A09.004,感染性腹泻,D70.x04,白细胞减少,合并症/并发症,7
A09.004,感染性腹泻,E77.801,低蛋白血症,合并症/并发症,3
A09.004,感染性腹泻,E87.102,低钠血症,合并症/并发症,3
A09.004,感染性腹泻,E87.600,低钾血症,合并症/并发症,41
A09.004,感染性腹泻,E87.801,电解质代谢紊乱,合并症/并发症,12
A09.004,感染性腹泻,I25.600x001,隐匿性冠状动脉粥样硬化性心脏病,合并症/并发症,4
A09.004,感染性腹泻,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,4
A09.004,感染性腹泻,I50.906,心肌损害,严重合并症/并发症,8
A09.004,感染性腹泻,J18.000,支气管肺炎,合并症/并发症,8
A09.004,感染性腹泻,J21.901,急性喘息性支气管炎,合并症/并发症,3
A09.004,感染性腹泻,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,3
A09.004,感染性腹泻,J44.900,慢性阻塞性肺病,合并症/并发症,5
A09.004,感染性腹泻,J98.414,肺部感染,合并症/并发症,6
A09.004,感染性腹泻,K59.101,肠道菌群失调,合并症/并发症,3
A09.004,感染性腹泻,K76.800x006,肝功能不全,合并症/并发症,4
A09.004,感染性腹泻,K76.807,肝囊肿,合并症/并发症,4
